Lat,Lon,Calibrated.age,Calibrated.error
43.25,-103.67,4230,175
48.08,-79.25,4230,70
49.58,-113.58,4230,105
49.60,-126.62,4230,90
70.28,-115.13,4237,43
50.65,-119.95,4240,120
53.42,-114.58,4245,125
70.27,-115.29,4247,51
54.61,-128.42,4250,100
78.85,-74.97,4250,80
50.65,-119.95,4260,90
54.61,-128.42,4270,200
70.24,-127.57,4280,90
55.22,-59.22,4290,90
55.22,-59.22,4300,90
47.67,-107.50,4320,60
48.76,-123.26,4320,150
48.76,-123.26,4320,220
49.53,-110.23,4320,95
-9.08,147.27,4326,65
78.63,-74.71,4340,80
81.74,-69.65,4340,65
50.65,-119.95,4350,90
54.61,-128.42,4350,320
69.71,-128.98,4360,100
76.29,-94.63,4360,90
76.38,-87.52,4360,60
55.75,-98.92,4370,60
49.16,-122.94,4375,105
78.97,-75.74,4390,80
54.61,-128.42,4395,130
50.73,-111.63,4400,55
78.90,-75.60,4400,110
-5.93,150.12,4403,199
29.65,-101.30,4407,186
69.35,-116.12,4410,70
78.63,-74.71,4410,210
48.89,-125.38,4415,35
48.10,-89.36,4420,60
