Latitude,Longitude,T_anomaly,P_anomaly,Veg_ID,Dist2Riv,Scale_Dist2Riv,Fig_code
-1.6837,4.5,-1.6837,0.0687,20,263.15065,0.0970725161686783,6.09707251616868
-1.5524,4.5,-1.5524,0.2055,15,330.87662,0.122071212482637,4.12207121248264
-1.5524,4.5,-1.5524,0.2055,15,401.43909,0.148116904536849,4.14811690453685
-1.1844,4.5,-1.1844,-0.0044,15,477.68476,0.176260353048318,5.17626035304832
-1.0629,4.5,-1.0629,-0.0739,10,565.61494,0.208716733763894,7.20871673376389
-1.0841,4.5,-1.0841,-0.0797,10,660.57999,0.243769793105679,7.24376979310568
-5.8718,5.5,-5.8718,-0.425,15,678.45437,0.250367501450355,5.25036750145035
-4.9922,5.5,-4.9922,-0.434,15,592.06421,0.21847956578322,5.21847956578322
-4.7955,5.5,-4.7955,-0.3043,15,515.24373,0.19012394606729,5.19012394606729
-4.2118,5.5,-4.2118,0.0803,15,452.88915,0.16710791234781,4.16710791234781
-4.2118,5.5,-4.2118,0.0803,15,406.90299,0.150133713993987,4.15013371399399
-4.0455,5.5,-4.0455,0.0069,15,373.65489,0.137861329339827,4.13786132933983
-3.0737,5.5,-3.0737,0.0155,15,371.06455,0.136905195038466,4.13690519503847
-2.1147,5.5,-2.1147,0.1202,15,63.181327,0.023260765996848,4.02326076599685
-2.0204,5.5,-2.0204,0.1145,15,35.659769,0.0131021359982079,4.01310213599821
-1.7399,5.5,-1.7399,0.097,15,110.9904,0.0409078295528055,4.04090782955281
-1.7399,5.5,-1.7399,0.097,15,170.30762,0.0628027270192909,4.06280272701929
-1.7306,5.5,-1.7306,0.0417,15,159.49143,0.0588103050711951,4.0588103050712
-1.7276,5.5,-1.7276,0.0227,15,152.41873,0.0561996628106305,4.05619966281063
-1.6837,5.5,-1.6837,0.0687,20,198.93813,0.0733706882430837,6.07337068824308
-1.5524,5.5,-1.5524,0.2055,15,274.44124,0.101240046447173,4.10124004644717
-1.5524,5.5,-1.5524,0.2055,15,341.85583,0.126123807617962,4.12612380761796
-1.1844,5.5,-1.1844,-0.0044,15,427.9365,0.157897505769972,5.15789750576997
-1.0629,5.5,-1.0629,-0.0739,10,523.55582,0.193192066223329,7.19319206622333
-1.0841,5.5,-1.0841,-0.0797,10,624.3465,0.23039545512418,7.23039545512418
-8.2619667,6.5,-8.2619667,-0.6663333,20,951.27844,0.351071058343939,7.35107105834394
-7.9554,6.5,-7.9554,-0.53,20,848.40715,0.313099684318064,7.31309968431806
-7.9554,6.5,-7.9554,-0.53,20,747.90623,0.276003250286135,7.27600325028613
-4.0346,6.5,-4.0346,-0.2937,15,650.87464,0.24018739927255,5.24018739927255
-3.706,6.5,-3.706,-0.2261,15,559.12158,0.206319934800407,5.20631993480041
-5.0939,6.5,-5.0939,-0.2969,20,475.71124,0.175531896488013,7.17553189648801
-9.1919,6.5,-9.1919,-0.5071,20,405.82083,0.149734272107763,7.14973427210776
-9.1919,6.5,-9.1919,-0.5071,20,353.83795,0.130546592246627,7.13054659224663
-4.8625,6.5,-4.8625,0.3256,20,316.6673,0.116826334107209,6.11682633410721
-3.6971,6.5,-3.6971,0.5722,15,311.82546,0.115039136555653,4.11503913655565
-3.5074,6.5,-3.5074,0.4149,15,344.82066,0.127218171933342,4.12721817193334
-2.9469,6.5,-2.9469,-0.052,5,393.77618,0.145288406695161,5.14528840669516
-2.9469,6.5,-2.9469,-0.052,5,283.4222,0.104555056799152,5.10455505679915
-2.268,6.5,-2.268,-0.0047,20,174.14042,0.0642174724003041,7.0642174724003
-2.0439,6.5,-2.0439,0.0112,15,71.06271,0.0261699055802455,4.02616990558025
-1.9877,6.5,-1.9877,0.0008,20,10.218649,0.00371142763674811,6.00371142763675
-1.8199,6.5,-1.8199,-0.0312,15,50.986089,0.0187593162392668,5.01875931623927
-1.8199,6.5,-1.8199,-0.0312,15,110.10428,0.0405807490432502,5.04058074904325
-1.5904,6.5,-1.5904,-0.081,15,89.998084,0.0331592431152742,5.03315924311527
-1.515,6.5,-1.515,-0.0981,15,78.92886,0.0290734224292481,5.02907342242925
-1.586,6.5,-1.586,-0.0557,15,145.39721,0.0536079118745806,5.05360791187458
-1.7968,6.5,-1.7968,0.0681,15,209.03545,0.0770977642268586,4.07709776422686
-1.7968,6.5,-1.7968,0.0681,15,291,0.107352139231901,4.1073521392319
-1.3787,6.5,-1.3787,0.0014,15,387.80058,0.143082720904412,4.14308272090441
-1.2406,6.5,-1.2406,-0.0201,10,490.73485,0.18107734181614,7.18107734181614
-1.2428,6.5,-1.2428,-0.0351,10,596.63656,0.220167290434357,7.22016729043436
-8.4213667,7.5,-8.4213667,-0.6684,20,936.62634,0.345662743066036,7.34566274306604
-8.4854,7.5,-8.4854,-0.555,20,831.29345,0.306782754651229,7.30678275465123
-8.4854,7.5,-8.4854,-0.555,20,727.69575,0.268543251531162,7.26854325153116
-3.9762,7.5,-3.9762,-0.2736,15,626.69436,0.231262086331199,5.2312620863312
-3.5222,7.5,-3.5222,-0.1957,15,529.77634,0.195488155749915,5.19548815574992
-5.1365,7.5,-5.1365,-0.2957,20,439.65051,0.162221326877424,7.16222132687742
-9.9026,7.5,-9.9026,-0.5908,20,361.43416,0.133350470093294,7.13335047009329
-9.1671,7.5,-9.1671,-0.5098,20,302.36541,0.111547286722201,7.1115472867222
-5.1162,7.5,-5.1162,0.3646,20,260.40112,0.0960576223919467,6.09605762239195
-3.7857,7.5,-3.7857,0.6519,15,252.67843,0.0932070588335828,4.09320705883358
-3.5847,7.5,-3.5847,0.468,15,290.86075,0.10730073991696,4.10730073991696
-2.989,7.5,-2.989,-0.0758,15,360.65151,0.133061581950826,5.13306158195083
-2.989,7.5,-2.989,-0.0758,15,300.07684,0.110702540365327,5.11070254036533
-2.271,7.5,-2.271,-0.0224,20,200.69157,0.074017909893283,7.07401790989328
-2.0342,7.5,-2.0342,-0.0045,15,111.6503,0.0411514087838978,5.0411514087839
-1.9834,7.5,-1.9834,-0.0156,20,53.991723,0.0198687419381074,7.01986874193811
-1.832,7.5,-1.832,-0.0489,15,9.5549949,0.00346646270965421,5.00346646270965
-1.832,7.5,-1.832,-0.0489,15,59.184722,0.0217855576730418,5.02178555767304
-1.57,7.5,-1.57,-0.0991,15,19.926015,0.0072945656064582,5.00729456560646
-1.4843,7.5,-1.4843,-0.1148,15,11.350615,0.00412925368297124,5.00412925368297
-1.5718,7.5,-1.5718,-0.0734,15,89.795014,0.0330842868575716,5.03308428685757
-1.8311,7.5,-1.8311,0.0484,15,154.82446,0.0570876547239745,4.05708765472397
-1.8311,7.5,-1.8311,0.0484,15,254.17537,0.0937596023919876,4.09375960239199
-1.4059,7.5,-1.4059,0.0024,15,360.50889,0.133008938717096,4.1330089387171
-8.4213667,8.5,-8.4213667,-0.6684,20,924.54339,0.341202740534855,7.34120274053485
-8.4854,8.5,-8.4854,-0.555,20,817.11634,0.301549765481792,7.30154976548179
-8.4854,8.5,-8.4854,-0.555,20,710.84186,0.262322221727988,7.26232222172799
-3.9762,8.5,-3.9762,-0.2736,15,606.32632,0.223743929758904,5.2237439297589
-3.5222,8.5,-3.5222,-0.1957,15,504.66375,0.186218712860179,5.18621871286018
-5.1365,8.5,-5.1365,-0.2957,20,407.99243,0.150535843040087,7.15053584304009
-9.1671,8.5,-9.1671,-0.5098,20,320.85605,0.118372466103327,7.11837246610333
-9.1671,8.5,-9.1671,-0.5098,20,253.29399,0.0934342714892748,7.09343427148927
-5.1162,8.5,-5.1162,0.3646,20,205.4673,0.0757807052278859,6.07578070522789
-3.7857,8.5,-3.7857,0.6519,15,193.72654,0.0714470102843499,4.07144701028435
-3.5847,8.5,-3.5847,0.468,15,239.92577,0.0884998560495523,4.08849985604955
